% Model:              Progetto_mns.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jul 7 2017, 16:05
% Table:              w16nm - Punto di interesse (Trench_height, Trench_width, es.Ex, es.Ey, es.Ex/es.normE, es.Ey/es.normE, up_voltage)
% Voltage (V)            Trench Height (nm)       Trench Width (nm)        Ex (V/nm)                Ey (V/nm)                Ex norm                  Ey norm
-2                       6.8                      15.999999999999998       5.710169253919125E-5     0.17589413962402303      3.246365354856416E-4     0.9999995019513532
-1.75                    6.8                      15.999999999999998       4.996398097040654E-5     0.15390737217102066      3.246365354766364E-4     0.9999995019513532
-1.5                     6.8                      15.999999999999998       4.2826269404149054E-5    0.13192060471801584      3.246365354837927E-4     0.9999995019513532
-1.25                    6.8                      15.999999999999998       3.5688557835686214E-5    0.1099338372650141       3.246365354737415E-4     0.9999995019513532
-1                       6.8                      15.999999999999998       2.8550846269595625E-5    0.08794706981201152      3.246365354856416E-4     0.9999995019513532
-0.75                    6.8                      15.999999999999998       2.1413134702074527E-5    0.06596030235900792      3.246365354837927E-4     0.9999995019513532
-0.5                     6.8                      15.999999999999998       1.4275423134797813E-5    0.04397353490600576      3.246365354856416E-4     0.9999995019513532
-0.25                    6.8                      15.999999999999998       7.137711567398906E-6     0.02198676745300288      3.246365354856416E-4     0.9999995019513532
0.25                     6.8                      15.999999999999998       -7.137711567398906E-6    -0.02198676745300288     -3.246365354856416E-4    -0.9999995019513532
0.5                      6.8                      15.999999999999998       -1.4275423134797813E-5   -0.04397353490600576     -3.246365354856416E-4    -0.9999995019513532
0.75                     6.8                      15.999999999999998       -2.1413134702074527E-5   -0.06596030235900792     -3.246365354837927E-4    -0.9999995019513532
1                        6.8                      15.999999999999998       -2.8550846269595625E-5   -0.08794706981201152     -3.246365354856416E-4    -0.9999995019513532
1.25                     6.8                      15.999999999999998       -3.5688557835686214E-5   -0.1099338372650141      -3.246365354737415E-4    -0.9999995019513532
1.5                      6.8                      15.999999999999998       -4.2826269404149054E-5   -0.13192060471801584     -3.246365354837927E-4    -0.9999995019513532
1.75                     6.8                      15.999999999999998       -4.996398097040654E-5    -0.15390737217102066     -3.246365354766364E-4    -0.9999995019513532
2                        6.8                      15.999999999999998       -5.710169253919125E-5    -0.17589413962402303     -3.246365354856416E-4    -0.9999995019513532
