% Model:              Progetto_mns.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jul 7 2017, 16:05
% Table:              w4nm - Punto di interesse (Trench_height, Trench_width, es.Ex, es.Ey, es.Ex/es.normE, es.Ey/es.normE, up_voltage)
% Voltage (V)            Trench Height (nm)       Trench Width (nm)        Ex (V/nm)                Ey (V/nm)                Ex norm                  Ey norm
-2                       6.8                      3.9999999999999996       -4.166501648730041E-6    0.2847647660420901       -1.463138050552388E-5    0.9999999994715629
-1.75                    6.8                      3.9999999999999996       -3.6456889399349693E-6   0.24916917028683397      -1.4631380494672251E-5   0.9999999994715626
-1.5                     6.8                      3.9999999999999996       -3.1248762375593187E-6   0.21357357453157194      -1.4631380510261005E-5   0.9999999994715627
-1.25                    6.8                      3.9999999999999996       -2.6040635302454234E-6   0.17797797877631008      -1.4631380504338862E-5   0.9999999994715626
-1                       6.8                      3.9999999999999996       -2.0832508243650203E-6   0.14238238302104506      -1.463138050552388E-5    0.9999999994715629
-0.75                    6.8                      3.9999999999999996       -1.5624381187796594E-6   0.10678678726578597      -1.4631380510261005E-5   0.9999999994715627
-0.5                     6.8                      3.9999999999999996       -1.0416254121825102E-6   0.07119119151052253      -1.463138050552388E-5    0.9999999994715629
-0.25                    6.8                      3.9999999999999996       -5.208127060912551E-7    0.035595595755261264     -1.463138050552388E-5    0.9999999994715629
0.25                     6.8                      3.9999999999999996       5.208127060912551E-7     -0.035595595755261264    1.463138050552388E-5     -0.9999999994715629
0.5                      6.8                      3.9999999999999996       1.0416254121825102E-6    -0.07119119151052253     1.463138050552388E-5     -0.9999999994715629
0.75                     6.8                      3.9999999999999996       1.5624381187796594E-6    -0.10678678726578597     1.4631380510261005E-5    -0.9999999994715627
1                        6.8                      3.9999999999999996       2.0832508243650203E-6    -0.14238238302104506     1.463138050552388E-5     -0.9999999994715629
1.25                     6.8                      3.9999999999999996       2.6040635302454234E-6    -0.17797797877631008     1.4631380504338862E-5    -0.9999999994715626
1.5                      6.8                      3.9999999999999996       3.1248762375593187E-6    -0.21357357453157194     1.4631380510261005E-5    -0.9999999994715627
1.75                     6.8                      3.9999999999999996       3.6456889399349693E-6    -0.24916917028683397     1.4631380494672251E-5    -0.9999999994715626
2                        6.8                      3.9999999999999996       4.166501648730041E-6     -0.2847647660420901      1.463138050552388E-5     -0.9999999994715629
