% Model:              Progetto_mns.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jul 7 2017, 16:06
% Table:              w20nm - Punto di interesse (Trench_height, Trench_width, es.Ex, es.Ey, es.Ex/es.normE, es.Ey/es.normE, up_voltage)
% Voltage (V)            Trench Height (nm)       Trench Width (nm)        Ex (V/nm)                Ey (V/nm)                Ex norm                  Ey norm
-2                       6.8                      19.999999999999996       -3.7715863769292834E-6   0.1577082500715586       -2.3914950680494957E-5   0.9999996408511805
-1.75                    6.8                      19.999999999999996       -3.3001380779027943E-6   0.13799471881261308      -2.3914950666651593E-5   0.9999996408511808
-1.5                     6.8                      19.999999999999996       -2.828689782142639E-6    0.11828118755366822      -2.3914950675808615E-5   0.9999996408511805
-1.25                    6.8                      19.999999999999996       -2.357241484320164E-6    0.09856765629472426      -2.3914950667705353E-5   0.9999996408511805
-1                       6.8                      19.999999999999996       -1.8857931884646417E-6   0.0788541250357793       -2.3914950680494957E-5   0.9999996408511805
-0.75                    6.8                      19.999999999999996       -1.4143448910713196E-6   0.05914059377683411      -2.3914950675808615E-5   0.9999996408511805
-0.5                     6.8                      19.999999999999996       -9.428965942323208E-7    0.03942706251788965      -2.3914950680494957E-5   0.9999996408511805
-0.25                    6.8                      19.999999999999996       -4.714482971161604E-7    0.019713531258944823     -2.3914950680494957E-5   0.9999996408511805
0.25                     6.8                      19.999999999999996       4.714482971161604E-7     -0.019713531258944823    2.3914950680494957E-5    -0.9999996408511805
0.5                      6.8                      19.999999999999996       9.428965942323208E-7     -0.03942706251788965     2.3914950680494957E-5    -0.9999996408511805
0.75                     6.8                      19.999999999999996       1.4143448910713196E-6    -0.05914059377683411     2.3914950675808615E-5    -0.9999996408511805
1                        6.8                      19.999999999999996       1.8857931884646417E-6    -0.0788541250357793      2.3914950680494957E-5    -0.9999996408511805
1.25                     6.8                      19.999999999999996       2.357241484320164E-6     -0.09856765629472426     2.3914950667705353E-5    -0.9999996408511805
1.5                      6.8                      19.999999999999996       2.828689782142639E-6     -0.11828118755366822     2.3914950675808615E-5    -0.9999996408511805
1.75                     6.8                      19.999999999999996       3.3001380779027943E-6    -0.13799471881261308     2.3914950666651593E-5    -0.9999996408511808
2                        6.8                      19.999999999999996       3.7715863769292834E-6    -0.1577082500715586      2.3914950680494957E-5    -0.9999996408511805
