Time driver_0054b driver_0054a driver_0055b driver_0055a driver_0056b driver_0056a driver_0057b driver_0057a driver_0058b driver_0058a driver_0059b driver_0059a driver_0060b driver_0060a driver_0061b driver_0061a driver_0062b driver_0062a driver_0063b driver_0063a out_SH out_SL out_CoutL out_CoutH StepCompTime
25 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -2.419338e-02 2.306648e-02 2.613979e-02 -2.128922e-02 3.622861e+01
26 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -2.359500e-02 2.387823e-02 2.631114e-02 -2.139072e-02 2.544070e+01
27 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -2.368124e-02 2.391361e-02 2.645583e-02 -2.127540e-02 1.336802e+01
28 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -2.395194e-02 2.368503e-02 2.665900e-02 -2.098385e-02 1.043820e+01
29 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -2.395194e-02 2.368503e-02 2.665900e-02 -2.098385e-02 1.547855e+00
30 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -1.445826e-02 2.141052e-02 2.264801e-02 -1.313413e-02 1.240159e+01
31 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 5.557501e-03 8.380321e-03 8.281660e-03 1.431019e-02 2.314746e+01
32 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -8.543099e-02 -1.117437e-01 7.864103e-02 1.496742e-01 4.234215e+01
33 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -7.581018e-02 -1.090441e-01 1.057346e-01 1.296161e-01 3.158508e+01
34 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 -6.504183e-02 -1.058024e-01 1.095835e-01 1.274311e-01 1.562164e+01
