Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b driver_0010a driver_0010b out_out_y
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812852e-04
2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 1.494284e-03
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.744071e-01
4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 1.181732e-01
5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415784e-02
6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
8 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 9.415799e-02
12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 1.181561e-01
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.744071e-01
14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 1.494177e-03
15 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812743e-04
16 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812744e-04
17 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812744e-04
18 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812744e-04
19 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812744e-04
20 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 7.812744e-04
21 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821474e-04
22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.476283e-03
23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -8.350991e-02
24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -6.077555e-02
25 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948604e-02
26 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
27 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
28 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
29 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
30 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
31 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -5.948640e-02
32 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -6.077555e-02
33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -8.350991e-02
34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.476337e-03
35 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821478e-04
36 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821403e-04
37 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821377e-04
38 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821368e-04
39 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821364e-04
40 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 7.821363e-04
