Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b driver_0010a driver_0010b out_out_y
1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307654e-03
2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 2.951441e-02
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 3.397412e-01
4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 3.671488e-01
5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
7 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
8 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
9 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
10 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.777810e-01
12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 3.671488e-01
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 3.397412e-01
14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 2.951481e-02
15 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307653e-03
16 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307660e-03
17 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307661e-03
18 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307661e-03
19 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307661e-03
20 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.307661e-03
21 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310545e-03
22 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 2.908436e-02
23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 3.378726e-01
24 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 3.675070e-01
25 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
26 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
27 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
28 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
29 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
30 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
31 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 3.800327e-01
32 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 3.674801e-01
33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 3.397473e-01
34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 2.908400e-02
35 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310547e-03
36 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310553e-03
37 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310554e-03
38 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310554e-03
39 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310554e-03
40 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.310554e-03
