Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b driver_0006a driver_0006b out_out_y
1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881905e-04
2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 8.447284e-04
3 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.102311e-02
4 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 8.066717e-03
5 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333649e-02
6 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333628e-02
7 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333613e-02
8 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333602e-02
9 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333594e-02
10 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333588e-02
11 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 1.333583e-02
12 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 8.056658e-03
13 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 1.102316e-02
14 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 8.456986e-04
15 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881905e-04
16 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881904e-04
17 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881904e-04
18 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881904e-04
19 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881904e-04
20 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 4.881904e-04
21 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
22 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.135737e-03
23 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -9.671135e-03
24 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 6.971451e-03
25 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366063e-02
26 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366080e-02
27 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366092e-02
28 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366102e-02
29 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366108e-02
30 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366114e-02
31 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 1.366117e-02
32 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 6.981253e-03
33 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -9.671170e-03
34 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 1.134760e-03
35 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034791e-04
36 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
37 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
38 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
39 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
40 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 5.034792e-04
