Time CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b CK_0011a CK_0011b CK_0012a CK_0012b CK_0013a CK_0013b CK_0014a CK_0014b CK_0015a CK_0015b CK_0016a CK_0016b CK_0017a CK_0017b CK_0018a CK_0018b CK_0019a CK_0019b CK_0020a CK_0020b CK_0021a CK_0021b CK_0022a CK_0022b CK_0023a CK_0023b driver_0010a driver_0010b driver_0024a driver_0024b out_o2 out_o
20 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 3.772787e-02 -2.245114e-02
21 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.772684e-02 -2.245110e-02
22 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.796675e-02 -2.238751e-02
23 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 0 0 0 0 -2 -2 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.819777e-02 -2.227942e-02
24 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 1 1 1 1 -2 -2 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.850066e-02 -2.215965e-02
25 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.857702e-02 -2.215593e-02
26 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.857702e-02 -2.215593e-02
27 2 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 2 2 2 2 -1 -1 2 2 2 2 2 2 2 2 2 2 2 2 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.368570e-01 -8.550379e-02
28 2 2 2 2 2 2 2 2 0 0 0 0 0 0 2 2 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.285263e-01 -2.300549e-02
29 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.261629e-01 -5.074791e-02
30 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.390061e-01 -6.166711e-02
31 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.390061e-01 -6.166711e-02
32 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.397638e-01 -6.118000e-02
33 0 0 0 0 0 0 0 0 2 2 2 2 2 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.406109e-01 -6.054154e-02
34 -1 -1 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 -1 -1 -1 -1 2 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.455092e-01 -5.520572e-02
35 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.446775e-01 -5.454588e-02
36 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.446774e-01 -5.454592e-02
37 -2 -2 -2 -2 -2 -2 -2 -2 1 1 1 1 1 1 -2 -2 -2 -2 1 1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.261790e-01 -3.894368e-02
38 -2 -2 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 -2 -2 -2 -2 0 0 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.293400e-01 -1.048641e-02
39 -2 -2 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -1 -1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 1.253107e-01 -9.051791e-02
40 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 3.772684e-02 -2.245110e-02
41 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 5.343294e-02 5.343294e-02 5.343294e-02 5.343294e-02 3.772737e-02 -2.245103e-02
42 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -1 -1 -1 -1 -2 -2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -2 -2 -2 -2 -2 -2 -2 -2 5.343294e-02 5.343294e-02 5.343294e-02 5.343294e-02 3.796683e-02 -2.238761e-02
43 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 0 0 0 0 -2 -2 0 0 0 0 0 0 0 0 0 0 0 0 -2 -2 -2 -2 -2 -2 -2 -2 5.343294e-02 5.343294e-02 5.343294e-02 5.343294e-02 3.803422e-02 -2.227662e-02
44 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 1 1 1 1 -2 -2 1 1 1 1 1 1 1 1 1 1 1 1 -2 -2 -2 -2 -2 -2 -2 -2 5.343294e-02 5.343294e-02 5.343294e-02 5.343294e-02 3.810364e-02 -2.230414e-02
45 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 -2 -2 2 2 2 2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 5.343294e-02 5.343294e-02 5.343294e-02 5.343294e-02 3.806394e-02 -2.239789e-02
