Time CK_0001a CK_0001b CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b driver_0006a driver_0006b out_out_y
1 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236969e-03
2 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 2.937084e-02
3 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 3.394307e-01
4 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 3.666127e-01
5 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781005e-01
6 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781019e-01
7 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781019e-01
8 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781015e-01
9 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781013e-01
10 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781013e-01
11 2 2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 3.781014e-01
12 1 1 1 1 1 1 1 1 -9.240000e-01 9.290000e-01 3.666127e-01
13 0 0 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 3.394329e-01
14 -1 -1 -1 -1 -1 -1 -1 -1 -9.240000e-01 9.290000e-01 2.938286e-02
15 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236971e-03
16 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236970e-03
17 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236969e-03
18 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236969e-03
19 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236969e-03
20 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 1.236969e-03
21 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369518e-03
22 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 -2.105093e-02
23 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -3.563642e-01
24 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -3.329851e-01
25 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464892e-01
26 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464894e-01
27 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464895e-01
28 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464895e-01
29 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464895e-01
30 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464895e-01
31 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -4.464895e-01
32 1 1 1 1 1 1 1 1 9.290000e-01 -9.240000e-01 -3.329853e-01
33 0 0 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -3.563649e-01
34 -1 -1 -1 -1 -1 -1 -1 -1 9.290000e-01 -9.240000e-01 -2.105211e-02
35 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369516e-03
36 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369517e-03
37 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369518e-03
38 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369518e-03
39 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369518e-03
40 -2 -2 -2 -2 -2 -2 -2 -2 9.290000e-01 -9.240000e-01 1.369518e-03
